# 6452c994-8a83-46e8-be54-8443b21e0895
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0792674; -3.2135480; -1.5645774; -0.1539755; 5.5528494; 1.2398706
0.1989362; 0.2792444; -3.2151442; -1.5912326; -0.1015324; 5.5970927; -8.9270564
0.3978725; 0.4773842; -3.2211714; -1.6125687; -0.1306881; 5.2702577; -7.0225347
0.5968087; 0.6752150; -3.2324696; -1.6462795; -0.2192992; 4.9981540; -5.1797434
0.7957450; 0.8725681; -3.2523371; -1.6992906; -0.3176128; 4.7875532; -3.8485615
0.9946812; 1.0687225; -3.2845986; -1.7710714; -0.4011501; 4.6248707; -3.0065143
1.1936175; 1.2620576; -3.3324555; -1.8580020; -0.4654250; 4.4936866; -2.4911354
1.3925537; 1.4503147; -3.3980592; -1.9559447; -0.5152536; 4.3820161; -2.0968977
1.5914900; 1.6304984; -3.4823947; -2.0626390; -0.5592100; 4.2857633; -1.7455682
1.7904262; 1.8000368; -3.5860493; -2.1777754; -0.6002767; 4.2039569; -1.2837546
1.9893625; 1.9561973; -3.7093364; -2.3018340; -0.6444530; 4.1427627; -0.7551123
2.1882987; 2.0952444; -3.8516002; -2.4349118; -0.6869292; 4.1063420; -0.3354660
2.3872350; 2.2135152; -4.0113632; -2.5749606; -0.7173356; 4.0900577; -0.3354660
2.5861712; 2.3082475; -4.1860878; -2.7130989; -0.6726816; 4.0737083; 0.5039921
2.7851075; 2.3788471; -4.3716703; -2.8407727; -0.6066641; 4.0982464; 1.4738866
2.9840437; 2.4265653; -4.5641593; -2.9542305; -0.5398352; 4.1691777; 2.2679911
3.1829800; 2.4535250; -4.7611522; -3.0546870; -0.4786074; 4.2760278; 2.8822779
3.3819162; 2.4614737; -4.9599897; 3.1354232; -0.4537721; 4.4080827; 2.7930041
3.5808525; 2.4514951; -5.1573287; 3.0468704; -0.4465123; 4.5323783; 2.4155938
3.7797887; 2.4238498; -5.3546989; 2.9581554; -0.4412528; 4.6371921; 2.0802778
3.9787250; 2.3787774; -5.5495228; 2.8704823; -0.4366372; 4.7255937; 1.8015315
4.1776612; 2.3177028; -5.7376236; 2.7851837; -0.4261031; 4.8008349; 1.7169754
4.3765975; 2.2401870; -5.9215925; 2.7006962; -0.4169322; 4.8714632; 1.6298255
4.5755337; 2.1480090; -6.0978648; 2.6193193; -0.4025632; 4.9375719; 1.6967665
4.7744700; 2.0421254; -6.2660737; 2.5409664; -0.3823065; 5.0054683; 1.9189872
4.9734062; 1.9231317; -6.4265267; 2.4666447; -0.3628972; 5.0811638; 2.1128939
5.1723424; 1.7938717; -6.5769579; 2.3979051; -0.3310111; 5.1632245; 2.6410091
5.3712787; 1.6543024; -6.7192448; 2.3347303; -0.3005113; 5.2639978; 3.1172560
5.5702149; 1.5068094; -6.8526602; 2.2787549; -0.2630698; 5.3805151; 3.8035985
5.7691512; 1.3523497; -6.9783246; 2.2300940; -0.2231651; 5.5193559; 4.5907633
5.9680874; 1.1926049; -7.0968997; 2.1900065; -0.1801573; 5.6824140; 4.6524767
6.1670237; 1.0285311; -7.2097374; 2.1574729; -0.1486114; 5.8430233; 3.6057076
6.3659599; 0.8615037; -7.3174732; 2.1307756; -0.1246064; 5.9645229; -7.2536923
6.5648962; 0.6912667; -7.4209661; 2.1019339; -0.1652472; 5.7174722; -6.3021021
6.7638324; 0.5180102; -7.5186318; 2.0648303; -0.2088378; 5.4938197; -5.3482174
6.9627687; 0.3408005; -7.6090241; 2.0185293; -0.2571586; 5.2966165; -4.8812866
7.1617049; 0.1589879; -7.6903611; 1.9632667; -0.2926756; 5.1099919; -4.6271289
7.3606412; -0.0264852; -7.7606922; 1.9021888; -0.3238262; 4.9265616; -4.3719586
7.5595774; -0.2173882; -7.8193174; 1.8341538; -0.3586032; 4.7467386; -3.9916813
7.7585137; -0.4110094; -7.8639141; 1.7587625; -0.4024336; 4.5763902; -3.4178778
7.9574499; -0.6077373; -7.8928757; 1.6733112; -0.4582865; 4.4253212; -2.9575172
8.1563862; -0.8067257; -7.9038219; 1.5764786; -0.5113125; 4.2903092; -2.4694580
8.3553224; -1.0046408; -7.8945457; 1.4695500; -0.5670243; 4.1742333; -2.0281672
8.5542587; -1.2014096; -7.8629078; 1.3514308; -0.6201419; 4.0764288; -1.5009108
8.7531949; -1.3925109; -7.8073173; 1.2222029; -0.6754232; 4.0025118; -0.7898117
8.9521312; -1.5735756; -7.7269933; 1.0822479; -0.7338120; 3.9630615; -0.3124639
9.1510674; -1.7420459; -7.6207406; 0.9327780; -0.7701423; 3.9473453; -0.3124639
9.3500037; -1.8925822; -7.4899692; 0.7797897; -0.7370632; 3.9315664; 0.2970852
9.5489399; -2.0218781; -7.3390191; 0.6385093; -0.6808051; 3.9465702; 1.0838364
9.7478762; -2.1290511; -7.1730871; 0.5105688; -0.6166710; 4.0008306; 1.8081774
9.9468124; -2.2164182; -6.9928277; 0.3948495; -0.5334868; 4.0897517; 2.7414467
10.1457486; -2.2838292; -6.8052199; 0.2987037; -0.4210444; 4.2209970; 4.1410397
10.3446849; -2.3352132; -6.6137007; 0.2306432; -0.2617387; 4.4118501; 4.9096707
10.5436211; -2.3765593; -6.4205899; 0.1959090; -0.1129783; 4.6279417; 4.8704978
10.7425574; -2.4133102; -6.2269979; 0.1797272; -0.0906647; 4.8327716; 4.8316374
10.9414936; -2.4464327; -6.0329216; 0.1547077; -0.1931575; 5.0277288; 4.7930871
11.1404299; -2.4726194; -5.8360246; 0.1064514; -0.2975297; 5.2139327; 2.6059680
11.3393661; -2.4873870; -5.6345969; 0.0372350; -0.3747744; 5.3124324; -1.6088605
11.5383024; -2.4873253; -5.4376122; -0.0385887; -0.3967922; 5.2518393; -1.3109722
11.7372386; -2.4716099; -5.2389773; -0.1198791; -0.4150624; 5.2019435; -0.8711999
11.9361749; -2.4390868; -5.0403392; -0.2054293; -0.4366504; 5.1685191; -0.8077766
12.1351111; -2.3905171; -4.8490893; -0.2921970; -0.4441267; 5.1373337; -0.5568967
12.3340474; -2.3243339; -4.6603000; -0.3826835; -0.4573034; 5.1157232; -0.5206578
12.5329836; -2.2419015; -4.4796871; -0.4738133; -0.4621879; 5.0954361; -0.5206578
12.7319199; -2.1428657; -4.3067987; -0.5667058; -0.4651812; 5.0750678; -0.4978571
12.9308561; -2.0283908; -4.1440145; -0.6590338; -0.4638763; 5.0555148; -0.3683877
13.1297924; -1.8994079; -3.9924748; -0.7509626; -0.4556942; 5.0409977; -0.0895365
13.3287286; -1.7571790; -3.8532301; -0.8407821; -0.4480188; 5.0374631; 0.1221808
13.5276649; -1.6030152; -3.7270764; -0.9285782; -0.4314484; 5.0422858; 0.5207232
