# 49b58c39-28c3-4ebf-af16-d98c254149f5
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0665316; -3.1574694; -1.5698972; -0.1539923; 5.6121233; 2.4989972
0.1996185; 0.2674274; -3.1601876; -1.5972362; -0.1085414; 5.7003175; -8.8548662
0.3992370; 0.4661243; -3.1675032; -1.6190233; -0.1286620; 5.3813037; -7.2020129
0.5988554; 0.6644582; -3.1799831; -1.6509179; -0.2040034; 5.1071636; -5.4543626
0.7984739; 0.8624272; -3.2004927; -1.7001304; -0.2938661; 4.8893289; -4.0960378
0.9980924; 1.0594127; -3.2325909; -1.7671982; -0.3749648; 4.7191363; -3.1552895
1.1977109; 1.2538582; -3.2794136; -1.8492574; -0.4410189; 4.5837255; -2.5757026
1.3973293; 1.4433459; -3.3430938; -1.9424410; -0.4916875; 4.4701480; -2.1970938
1.5969478; 1.6250579; -3.4246682; -2.0444188; -0.5331586; 4.3709338; -1.8226479
1.7965663; 1.7974506; -3.5252870; -2.1551110; -0.5738508; 4.2868863; -1.3576015
1.9961848; 1.9572797; -3.6450765; -2.2742822; -0.6167547; 4.2231966; -0.7464154
2.1958033; 2.1010730; -3.7835509; -2.4020058; -0.6617443; 4.1877670; -0.3488924
2.3954217; 2.2253672; -3.9395530; -2.5366050; -0.6897304; 4.1711032; -0.3488924
2.5950402; 2.3272376; -4.1109389; -2.6727445; -0.6602303; 4.1543725; 0.2591110
2.7946587; 2.4056776; -4.2941446; -2.7997598; -0.6112807; 4.1668043; 1.0386136
2.9942772; 2.4613291; -4.4857288; -2.9161631; -0.5568301; 4.2162674; 1.7447930
3.1938956; 2.4953441; -4.6821661; -3.0224128; -0.5061524; 4.2980806; 2.2791374
3.3935141; 2.5092600; -4.8801923; -3.1196591; -0.4780486; 4.4026597; 2.3450823
3.5931326; 2.5042841; -5.0797016; 3.0704366; -0.4600401; 4.5077329; 2.2446633
3.7927511; 2.4807827; -5.2791454; 2.9782109; -0.4585102; 4.6060622; 1.8468844
3.9923696; 2.4397516; -5.4730310; 2.8881266; -0.4513340; 4.6854192; 1.6515590
4.1919880; 2.3809356; -5.6641748; 2.7982489; -0.4445085; 4.7552620; 1.4950845
4.3916065; 2.3052827; -5.8495120; 2.7100637; -0.4378088; 4.8176145; 1.3732878
4.5912250; 2.2143510; -6.0264722; 2.6243837; -0.4217300; 4.8741847; 1.5042509
4.7908435; 2.1081086; -6.1963009; 2.5411995; -0.4064289; 4.9354057; 1.6116442
4.9904619; 1.9891147; -6.3561255; 2.4628456; -0.3811504; 5.0001657; 1.9692391
5.1900804; 1.8579716; -6.5068357; 2.3891144; -0.3527546; 5.0781739; 2.3860821
5.3896989; 1.7164913; -6.6479730; 2.3219134; -0.3207545; 5.1711181; 2.8866361
5.5893174; 1.5664724; -6.7796314; 2.2616811; -0.2807232; 5.2813743; 3.6104630
5.7889358; 1.4091423; -6.9027906; 2.2095526; -0.2408290; 5.4161189; 4.3471841
5.9885543; 1.2461424; -7.0182579; 2.1663246; -0.1922727; 5.5740381; 4.6769405
6.1881728; 1.0788666; -7.1273465; 2.1324925; -0.1491565; 5.7390860; 4.6394965
6.3877913; 0.9084728; -7.2313504; 2.1063344; -0.1128040; 5.8982512; 4.6023523
6.5874098; 0.7355450; -7.3314913; 2.0847420; -0.1181594; 6.0520076; -6.3456768
6.7870282; 0.5608741; -7.4271909; 2.0583137; -0.1474794; 5.8389526; -6.8768255
6.9866467; 0.3825978; -7.5181063; 2.0252537; -0.1834831; 5.5989182; -6.3569602
7.1862652; 0.2017708; -7.6021178; 1.9850540; -0.2159247; 5.3674902; -6.3208732
7.3858837; 0.0172501; -7.6784071; 1.9399539; -0.2361014; 5.1270289; -6.1335140
7.5855021; -0.1708163; -7.7459374; 1.8900895; -0.2661547; 4.8823867; -5.8862134
7.7851206; -0.3614116; -7.8031438; 1.8334358; -0.3045783; 4.6354833; -4.8647322
7.9847391; -0.5564158; -7.8487060; 1.7645276; -0.3851124; 4.4210321; -3.9798841
8.1843576; -0.7536365; -7.8790075; 1.6792384; -0.4666922; 4.2375238; -3.1364617
8.3839761; -0.9523844; -7.8908041; 1.5781342; -0.5506639; 4.0871037; -2.4933734
8.5835945; -1.1522969; -7.8807346; 1.4603917; -0.6252253; 3.9634543; -1.7464666
8.7832130; -1.3484627; -7.8459529; 1.3275866; -0.7030889; 3.8744955; -0.8062494
8.9828315; -1.5376837; -7.7841471; 1.1799626; -0.7820602; 3.8327315; -0.2922425
9.1824500; -1.7158949; -7.6934553; 1.0189580; -0.8234317; 3.8174805; -0.2922425
9.3820684; -1.8764253; -7.5750791; 0.8521090; -0.8089563; 3.8021682; 0.0154342
9.5816869; -2.0153342; -7.4331950; 0.7002346; -0.7263289; 3.8029784; 1.2053369
9.7813054; -2.1337823; -7.2709351; 0.5641692; -0.6293812; 3.8657289; 2.2949388
9.9809239; -2.2305555; -7.0954032; 0.4463020; -0.5451090; 3.9824721; 3.0364750
10.1805424; -2.3072616; -6.9114830; 0.3471430; -0.4486848; 4.1318709; 3.9975332
10.3801608; -2.3672280; -6.7221724; 0.2709058; -0.3174610; 4.3206852; 4.9256353
10.5797793; -2.4152713; -6.5294894; 0.2232264; -0.1664591; 4.5425561; 4.8862002
10.7793978; -2.4566616; -6.3349985; 0.1992394; -0.0864718; 4.7524276; 4.8470809
10.9790163; -2.4942533; -6.1387825; 0.1783408; -0.1218054; 4.9518382; 4.8082747
11.1786347; -2.5261658; -5.9431403; 0.1414043; -0.2325809; 5.1420174; 4.7697792
11.3782532; -2.5489024; -5.7473369; 0.0865587; -0.3243915; 5.3239661; -0.1808793
11.5778717; -2.5592967; -5.5470110; 0.0156010; -0.3705884; 5.3171798; -1.5334370
11.7774902; -2.5546922; -5.3447761; -0.0620716; -0.3984515; 5.2592962; -1.3234091
11.9771087; -2.5345894; -5.1482244; -0.1422324; -0.4135613; 5.2088235; -0.9755467
12.1767271; -2.4976611; -4.9504580; -0.2276759; -0.4323002; 5.1713024; -0.7936180
12.3763456; -2.4443337; -4.7585443; -0.3147875; -0.4441276; 5.1405765; -0.6390325
12.5759641; -2.3739290; -4.5713690; -0.4050866; -0.4541686; 5.1157014; -0.5206392
12.7755826; -2.2868577; -4.3914327; -0.4965529; -0.4622043; 5.0953452; -0.5206392
12.9752010; -2.1838076; -4.2206313; -0.5890905; -0.4616186; 5.0749073; -0.4053123
13.1748195; -2.0651395; -4.0596474; -0.6813738; -0.4622405; 5.0589395; -0.3432851
13.3744380; -1.9325582; -3.9106587; -0.7725589; -0.4505893; 5.0453758; 0.0194038
13.5740565; -1.7868296; -3.7739460; -0.8618450; -0.4439130; 5.0461434; 0.1857591
13.7736750; -1.6296499; -3.6506162; -0.9484978; -0.4247737; 5.0534864; 0.6401250
13.9732934; -1.4627348; -3.5411868; -1.0321279; -0.4120874; 5.0787092; 0.8536655
14.1729119; -1.2868247; -3.4455137; -1.1125608; -0.3927286; 5.1121523; 1.2123114
14.3725304; -1.1044040; -3.3641798; -1.1897904; -0.3783453; 5.1592733; 1.3953821
14.5721489; -0.9160477; -3.2967509; -1.2637287; -0.3624853; 5.2129827; 1.6044356
14.7717673; -0.7227090; -3.2430278; -1.3352853; -0.3474392; 5.2740629; 1.7779186
14.9713858; -0.5288777; -3.2033918; -1.4023917; -0.3322530; 5.3409316; 1.9502650
15.1710043; -0.3278871; -3.1760170; -1.4676818; -0.3102144; 5.4133324; 2.3217741
15.3706228; -0.1296158; -3.1615079; -1.5266857; -0.2720927; 5.4982821; 3.1680980
15.5702412; 0.0665316; -3.1574694; -1.5698972; -0.1539923; 5.6121233; 2.4989972
