# 731b08de-d065-4317-9502-bfa242e2bb9e
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0287195; -2.9909737; -1.3407206; -0.3471868; 2.9920321; -1.1657075
0.1986103; 0.2241474; -2.9522640; -1.4094316; -0.3365914; 2.9136254; -1.1264080
0.3972206; 0.4203589; -2.9268809; -1.4749740; -0.3361652; 2.8358034; -1.0677723
0.5958308; 0.6181762; -2.9145619; -1.5426447; -0.3509944; 2.7600072; -0.9931500
0.7944411; 0.8171744; -2.9160822; -1.6149925; -0.3740729; 2.6875900; -0.8502969
0.9930514; 1.0143805; -2.9323320; -1.6920038; -0.4035822; 2.6240016; -0.7555917
1.1916617; 1.2101601; -2.9643539; -1.7746860; -0.4295198; 2.5661738; -0.6967214
1.3902719; 1.4031067; -3.0131159; -1.8628625; -0.4551532; 2.5116719; -0.6805517
1.5888822; 1.5904668; -3.0789769; -1.9555963; -0.4794937; 2.4572682; -0.7300349
1.7874925; 1.7705154; -3.1622609; -2.0533841; -0.5067383; 2.3975366; -0.6598844
1.9861028; 1.9416252; -3.2634512; -2.1573121; -0.5352476; 2.3422345; -0.5090286
2.1847130; 2.1009001; -3.3821462; -2.2659687; -0.5598479; 2.2986661; -0.5031602
2.3833233; 2.2458892; -3.5176440; -2.3795660; -0.5849403; 2.2547727; -0.3084990
2.5819336; 2.3742513; -3.6691369; -2.4984999; -0.6050601; 2.2274330; 0.0202143
2.7805439; 2.4835396; -3.8348971; -2.6190609; -0.6101145; 2.2292347; -0.0475763
2.9791542; 2.5719624; -4.0125088; -2.7402568; -0.6106097; 2.2249920; -0.0630566
3.1777644; 2.6382454; -4.1995566; -2.8619489; -0.6139207; 2.2193562; -0.0719946
3.3763747; 2.6813165; -4.3933930; -2.9839557; -0.6145335; 2.2129040; -0.0388248
3.5749850; 2.7004134; -4.5907348; -3.1066391; -0.6247507; 2.2094167; 0.0055434
3.7735953; 2.6949165; -4.7892628; 3.0510869; -0.6263576; 2.2099150; 0.0809551
3.9722055; 2.6648879; -4.9855549; 2.9293123; -0.6016762; 2.2171786; 0.2641204
4.1708158; 2.6118744; -5.1765739; 2.8141723; -0.5530639; 2.2407131; 0.4114570
4.3694261; 2.5381240; -5.3609412; 2.7097802; -0.4980519; 2.2768914; 0.7026903
4.5680364; 2.4465653; -5.5370486; 2.6163111; -0.4440105; 2.3373826; 0.9129913
4.7666466; 2.3399666; -5.7042227; 2.5332020; -0.3950052; 2.4137142; 1.0494772
4.9652569; 2.2200955; -5.8631503; 2.4590109; -0.3506649; 2.4985776; 1.2718548
