# 45d1f3e1-a6f2-4511-b947-86f2cce27392
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1239909; -2.9566311; -1.2844864; -0.3606410; 2.9857789; -1.1631250
0.1997447; 0.0680836; -2.9075003; -1.3563283; -0.3625907; 2.9069262; -1.0898692
0.3994893; 0.2645610; -2.8720844; -1.4286224; -0.3640676; 2.8310473; -1.0243311
0.5992340; 0.4645905; -2.8509654; -1.5030191; -0.3765749; 2.7578288; -0.8855312
0.7989786; 0.6633042; -2.8449886; -1.5787844; -0.3870531; 2.6929276; -0.8038522
0.9987233; 0.8632943; -2.8544509; -1.6578042; -0.3998412; 2.6326278; -0.7108905
1.1984679; 1.0616412; -2.8798592; -1.7391072; -0.4149897; 2.5781264; -0.6067936
1.3982126; 1.2571626; -2.9215847; -1.8233292; -0.4268376; 2.5306774; -0.5928069
1.5979572; 1.4483324; -2.9798401; -1.9104883; -0.4446186; 2.4834468; -0.6350300
1.7977019; 1.6336240; -3.0548508; -2.0010456; -0.4633320; 2.4318348; -0.6702838
1.9974465; 1.8114248; -3.1468562; -2.0964038; -0.4884805; 2.3761417; -0.6767184
2.1971912; 1.9782371; -3.2550159; -2.1968721; -0.5235677; 2.3185572; -0.4633107
2.3969358; 2.1344548; -3.3811757; -2.3042600; -0.5486194; 2.2782932; -0.4650192
2.5966805; 2.2752818; -3.5231714; -2.4173170; -0.5765505; 2.2371521; -0.4330369
2.7964252; 2.3978583; -3.6791063; -2.5345199; -0.6059440; 2.1981483; 0.0357888
2.9961698; 2.5020520; -3.8505838; -2.6569674; -0.6154839; 2.2013980; -0.0027495
3.1959145; 2.5839940; -4.0327108; -2.7805530; -0.6127217; 2.2011485; -0.0298970
3.3956591; 2.6429182; -4.2223422; -2.8992085; -0.5892697; 2.1984338; -0.0425017
3.5954038; 2.6794131; -4.4180533; -3.0143163; -0.5676944; 2.1945688; -0.0207812
3.7951484; 2.6933009; -4.6170951; -3.1302994; -0.5901798; 2.1926766; 0.0513738
3.9948931; 2.6837949; -4.8158680; 3.0343916; -0.5998563; 2.1973515; 0.1265639
4.1946377; 2.6506305; -5.0125154; 2.9150930; -0.5875812; 2.2088265; 0.2469523
4.3943824; 2.5944466; -5.2045992; 2.7998355; -0.5571321; 2.2310467; 0.5119639
4.5941270; 2.5175060; -5.3889263; 2.6943656; -0.5009657; 2.2764212; 0.8111258
4.7938717; 2.4228363; -5.5641559; 2.6000378; -0.4456250; 2.3465144; 0.9934291
4.9936163; 2.3125076; -5.7309252; 2.5158838; -0.3952040; 2.4296078; 1.1759198
5.1933610; 2.1891494; -5.8886802; 2.4415799; -0.3482483; 2.5244329; 1.4305423
5.3931057; 2.0558799; -6.0366503; 2.3767631; -0.3031972; 2.6351941; 1.5642157
5.5928503; 1.9133589; -6.1767920; 2.3198638; -0.2715751; 2.7512061; 1.7082403
5.7925950; 1.7632293; -6.3091299; 2.2673006; -0.2540920; 2.8725527; 1.8235578
5.9923396; 1.6074224; -6.4330926; 2.2193776; -0.2260908; 2.9966733; 1.9208742
6.1920843; 1.4455868; -6.5503458; 2.1773782; -0.1893593; 3.1220858; 2.0298085
6.3918289; 1.2794028; -6.6614447; 2.1443989; -0.1412580; 3.2493547; 2.1163204
6.5915736; 1.1105509; -6.7674918; 2.1197920; -0.1090144; 3.3769444; 2.1936128
6.7913182; 0.9385397; -6.8703533; 2.1005338; -0.0836539; 3.5042943; 2.2345677
6.9910629; 0.7656217; -6.9698565; 2.0861321; -0.0610716; 3.6294303; 0.0735659
7.1908075; 0.5911170; -7.0674622; 2.0762816; -0.0349693; 3.6334767; -2.2908416
7.3905522; 0.4160203; -7.1638067; 2.0723876; -0.0041112; 3.5052798; -2.4777492
7.5902968; 0.2411537; -7.2597481; 2.0731798; 0.0086448; 3.3611236; -2.4514852
7.7900415; 0.0659082; -7.3562879; 2.0756032; 0.0061821; 3.2121348; -2.4503424
7.9897861; -0.1091906; -7.4526195; 2.0694559; -0.0677482; 3.0559654; -2.4095210
8.1895308; -0.2862923; -7.5469384; 2.0484950; -0.1381673; 2.8941919; -2.3768966
8.3892755; -0.4649172; -7.6357993; 2.0139063; -0.2116954; 2.7252159; -2.4040011
8.5890201; -0.6492922; -7.7179078; 1.9628609; -0.2959331; 2.5429174; -2.2354292
8.7887648; -0.8352457; -7.7877150; 1.8931872; -0.4048066; 2.3608047; -1.8770781
8.9885094; -1.0277899; -7.8427503; 1.8012185; -0.5256011; 2.1962528; -1.3041421
9.1882541; -1.2250242; -7.8773043; 1.6845692; -0.6114451; 2.0742554; -0.8901076
9.3879987; -1.4216982; -7.8878169; 1.5635304; -0.6207685; 1.9866925; -0.5732502
9.5877434; -1.6194567; -7.8745021; 1.4451948; -0.6051233; 1.9281960; -0.3950980
9.7874880; -1.8163353; -7.8363816; 1.3097387; -0.7285311; 1.8868233; 0.1775394
9.9872327; -2.0031945; -7.7715390; 1.1629450; -0.7563999; 1.9055255; 0.2769804
10.1869773; -2.1798215; -7.6786650; 1.0106399; -0.7563389; 1.9343418; 0.3276407
10.3867220; -2.3414418; -7.5592734; 0.8583184; -0.7538669; 1.9678839; 0.3036505
10.5864666; -2.4821101; -7.4183429; 0.7115730; -0.7248389; 1.9984674; 0.2627246
10.7862113; -2.6012585; -7.2582421; 0.5691316; -0.6940351; 2.0245562; 0.2447981
10.9859560; -2.6974692; -7.0823281; 0.4326003; -0.6677905; 2.0485658; 0.3071278
11.1857006; -2.7690858; -6.8965037; 0.3047162; -0.6195263; 2.0782965; 0.3497193
11.3854453; -2.8173900; -6.7023966; 0.1845950; -0.5732581; 2.1116405; 0.3999192
11.5851899; -2.8431176; -6.5042592; 0.0753086; -0.5236399; 2.1491368; 0.6651311
11.7849346; -2.8479973; -6.3041283; -0.0249808; -0.4781004; 2.2100909; 0.7930971
11.9846792; -2.8337253; -6.1049290; -0.1169872; -0.4454236; 2.2806437; 1.0297602
12.1844239; -2.8017182; -5.9075102; -0.2037386; -0.4235152; 2.3691166; 1.1686814
12.3841685; -2.7531453; -5.7135245; -0.2857711; -0.3889717; 2.4656823; 1.2815726
12.5839132; -2.6901172; -5.5250181; -0.3577396; -0.3365984; 2.5674041; 1.4031429
12.7836578; -2.6140046; -5.3400913; -0.4221324; -0.3057312; 2.6743419; 1.4512696
12.9834025; -2.5269731; -5.1606340; -0.4801427; -0.2797715; 2.7806243; 1.4942098
13.1831471; -2.4300483; -4.9862601; -0.5337428; -0.2582075; 2.8859647; 1.4966063
13.3828918; -2.3241552; -4.8170154; -0.5839828; -0.2446621; 2.9877534; 1.4779433
13.5826365; -2.2101776; -4.6532285; -0.6316063; -0.2341478; 3.0849786; 1.4609938
13.7823811; -2.0884522; -4.4946699; -0.6775880; -0.2263325; 3.1781668; 1.3681205
13.9821258; -1.9598526; -4.3420013; -0.7223375; -0.2221161; 3.2630191; 1.2677157
14.1818704; -1.8245560; -4.1951308; -0.7663778; -0.2193381; 3.3397204; 1.1894255
14.3816151; -1.6827624; -4.0541467; -0.8101096; -0.2183097; 3.4101166; 0.9965401
14.5813597; -1.5351542; -3.9196714; -0.8537641; -0.2192366; 3.4679969; 0.8489247
14.7811044; -1.3816700; -3.7916760; -0.8975998; -0.2182228; 3.5165521; 0.5942184
14.9808490; -1.2228264; -3.6705557; -0.9410310; -0.2174773; 3.5501441; -1.1932853
15.1805937; -1.0587383; -3.5564110; -0.9852496; -0.2253694; 3.4823581; -1.2449257
15.3803383; -0.8896368; -3.4497582; -1.0313032; -0.2356087; 3.4102029; -1.2780794
15.5800830; -0.7161529; -3.3514410; -1.0795430; -0.2484928; 3.3345021; -1.2765469
15.7798276; -0.5373121; -3.2614838; -1.1303212; -0.2593735; 3.2571364; -1.2823335
15.9795723; -0.3542715; -3.1810333; -1.1834683; -0.2718341; 3.1775241; -1.2858697
16.1793170; -0.1678327; -3.1108996; -1.2390050; -0.2860897; 3.0956369; -1.3211448
16.3790616; 0.0232155; -3.0512381; -1.2977085; -0.3010615; 3.0091834; -1.3082661
16.5788063; 0.2173813; -3.0032278; -1.3596456; -0.3181722; 2.9210523; -1.2766259
16.7785509; 0.4135382; -2.9677720; -1.4249414; -0.3373876; 2.8324103; -1.2267990
16.9782956; 0.6115636; -2.9455893; -1.4942188; -0.3577266; 2.7445318; -1.1185671
17.1780402; 0.8114199; -2.9375930; -1.5681909; -0.3812056; 2.6618789; -0.9779877
17.3777849; 1.0106116; -2.9448012; -1.6467138; -0.4090951; 2.5874512; -0.8321796
17.5775295; 1.2084278; -2.9681540; -1.7307562; -0.4368735; 2.5223911; -0.6892276
