# 00affa60-7286-4979-8e5e-dc26f3c8280b
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0466632; -3.0699842; -1.4055065; -0.3615868; 2.9951298; -1.0224525
0.1983652; 0.2441815; -3.0442617; -1.4764323; -0.3417616; 2.9266303; -0.9568897
0.3967304; 0.4415060; -3.0321245; -1.5422995; -0.3354301; 2.8610378; -0.8745840
0.5950957; 0.6392599; -3.0330669; -1.6091513; -0.3456452; 2.7997434; -0.7871572
0.7934609; 0.8369267; -3.0475423; -1.6790904; -0.3612214; 2.7434056; -0.7051087
0.9918261; 1.0335911; -3.0762507; -1.7530979; -0.3820199; 2.6919391; -0.7024030
1.1901913; 1.2264916; -3.1195404; -1.8306930; -0.4026791; 2.6396726; -0.7613494
1.3885565; 1.4157410; -3.1781781; -1.9125160; -0.4236489; 2.5818251; -0.7961558
1.5869218; 1.5998388; -3.2526877; -1.9990036; -0.4469945; 2.5199130; -0.8112775
1.7852870; 1.7767657; -3.3433417; -2.0904923; -0.4739825; 2.4552196; -0.8567476
1.9836522; 1.9436338; -3.4497007; -2.1869087; -0.5012740; 2.3849959; -0.8856252
2.1820174; 2.0994736; -3.5723888; -2.2897324; -0.5372030; 2.3101625; -0.8702268
2.3803826; 2.2414730; -3.7111119; -2.4007647; -0.5788977; 2.2341901; -0.7345643
2.5787479; 2.3664774; -3.8649266; -2.5186170; -0.6110062; 2.1679902; -0.7508965
2.7771131; 2.4719360; -4.0326055; -2.6425492; -0.6375948; 2.0981606; -0.7724680
2.9754783; 2.5554754; -4.2124554; -2.7721012; -0.6747058; 2.0238123; -0.8176429
3.1738435; 2.6141727; -4.4018787; -2.9121985; -0.7377659; 1.9420176; 0.3088725
3.3722087; 2.6449078; -4.5973019; -3.0585204; -0.7315613; 1.9733149; 0.4819736
3.5705740; 2.6470373; -4.7956466; 3.0803791; -0.7182886; 2.0211841; 0.4367791
3.7689392; 2.6209243; -4.9923522; 2.9392459; -0.7061827; 2.0636058; 0.9754259
3.9673044; 2.5683433; -5.1830412; 2.8102696; -0.5832640; 2.1553306; 1.2583007
4.1656696; 2.4938630; -5.3668988; 2.7072863; -0.4571678; 2.2681834; 1.6259771
4.3640348; 2.4029500; -5.5433611; 2.6283369; -0.3393965; 2.4061859; 1.5463168
4.5624001; 2.3003867; -5.7125538; 2.5656244; -0.3089341; 2.5304548; 1.5460130
4.7607653; 2.1871920; -5.8758183; 2.5056021; -0.2924688; 2.6488775; 1.4986267
4.9591305; 2.0650000; -6.0319274; 2.4501645; -0.2673549; 2.7588227; 1.5186955
5.1574957; 1.9346959; -6.1813339; 2.3992624; -0.2471514; 2.8659406; 1.5529562
5.3558609; 1.7967305; -6.3246579; 2.3517627; -0.2307726; 2.9714846; 1.5584190
5.5542262; 1.6530354; -6.4608733; 2.3077348; -0.2144350; 3.0737587; 1.5981094
5.7525914; 1.5032076; -6.5912561; 2.2665578; -0.2000746; 3.1752183; 1.6277268
5.9509566; 1.3484790; -6.7154532; 2.2282168; -0.1867888; 3.2753290; 1.6640161
6.1493218; 1.1891327; -6.8339100; 2.1922601; -0.1756998; 3.3746031; 1.7064309
6.3476870; 1.0259866; -6.9465729; 2.1583684; -0.1663435; 3.4734621; 1.7296552
6.5460523; 0.8588524; -7.0540289; 2.1263416; -0.1562064; 3.5708747; 1.1859595
6.7444175; 0.6887090; -7.1560980; 2.0961975; -0.1486793; 3.6361590; 0.3245047
6.9427827; 0.5157968; -7.2530050; 2.0671951; -0.1440505; 3.6538190; -1.6852540
7.1411479; 0.3396991; -7.3451502; 2.0384393; -0.1469568; 3.5611517; -2.2376094
7.3395131; 0.1617365; -7.4317585; 2.0087985; -0.1539224; 3.4342501; -2.3094590
7.5378784; -0.0194004; -7.5131347; 1.9767715; -0.1686322; 3.2981572; -2.3166940
7.7362436; -0.2028775; -7.5882803; 1.9416374; -0.1873832; 3.1557468; -2.2839646
7.9346088; -0.3887533; -7.6564683; 1.9024880; -0.2085144; 3.0087572; -2.2683494
