# 6f761633-5dc9-41c1-876c-dbe5dcb58c16
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1064742; -3.0554304; -1.3490968; -0.3596182; 3.0030568; -1.0688598
0.1997335; 0.0886427; -3.0187543; -1.4209451; -0.3612343; 2.9311049; -0.9558591
0.3994670; 0.2866761; -2.9960723; -1.4925601; -0.3608760; 2.8652298; -0.8524568
0.5992004; 0.4872090; -2.9877135; -1.5661020; -0.3711469; 2.8051762; -0.7072453
0.7989339; 0.6866693; -2.9942112; -1.6409175; -0.3800454; 2.7543588; -0.6212564
0.9986674; 0.8852980; -3.0158316; -1.7176837; -0.3866071; 2.7089336; -0.5961971
1.1984009; 1.0820432; -3.0528452; -1.7962352; -0.3974502; 2.6646125; -0.6466746
1.3981344; 1.2748215; -3.1052427; -1.8764916; -0.4080452; 2.6156901; -0.6806033
1.5978678; 1.4630979; -3.1733507; -1.9597354; -0.4222574; 2.5631926; -0.6990866
1.7976013; 1.6442572; -3.2568143; -2.0460804; -0.4434114; 2.5081257; -0.7357264
1.9973348; 1.8178567; -3.3562672; -2.1367353; -0.4654500; 2.4488356; -0.7747585
2.1970683; 1.9817389; -3.4716838; -2.2328381; -0.4914821; 2.3848072; -0.8091247
2.3968018; 2.1325649; -3.6018767; -2.3340513; -0.5211024; 2.3160498; -0.8633728
2.5965352; 2.2688395; -3.7466808; -2.4398034; -0.5451703; 2.2403567; -0.9642870
2.7962687; 2.3895396; -3.9069944; -2.5545256; -0.5994302; 2.1526721; -0.8461413
2.9960022; 2.4894012; -4.0791815; -2.6790827; -0.6434110; 2.0726774; -0.7730992
3.1957357; 2.5664065; -4.2620771; -2.8078361; -0.6694733; 1.9967884; -0.5026675
3.3954692; 2.6186877; -4.4542669; -2.9451374; -0.7007384; 1.9458584; 0.2208750
3.5952026; 2.6437949; -4.6527712; -3.0867878; -0.7123676; 1.9683997; 0.3029284
3.7949361; 2.6403805; -4.8517152; 3.0513464; -0.7457563; 1.9989015; 0.7659388
3.9946696; 2.6080631; -5.0481341; 2.9095136; -0.6491837; 2.0740237; 1.1838470
