# bb9adbd6-f55f-4b55-a225-37fc0cdf1b79
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1530286; -3.5383366; -1.0846478; 0.3911675; 2.6529788; -0.1400315
0.1977852; 0.3304544; -3.4515308; -1.2193201; -1.7184827; 2.6425186; -0.1400315
0.3955704; 0.5212294; -3.4006115; -1.3244129; 0.4180019; 2.6320167; 2.3801177
0.5933557; 0.7136311; -3.3542671; -1.3912682; -1.0232767; 2.8051767; -0.2416520
0.7911409; 0.9089682; -3.3339300; -1.5125362; -0.1728674; 2.7880864; -0.1546574
0.9889261; 1.1090640; -3.3301813; -1.6441715; -1.5559666; 2.7770934; -0.1546574
1.1867113; 1.2965862; -3.3806174; -1.9838029; -0.6206994; 2.7660568; 0.8613483
1.3844966; 1.4800186; -3.4567826; -1.9228767; -0.0332816; 2.8269761; -0.1590020
1.5822818; 1.6604142; -3.5381504; -2.1262952; -1.5134513; 2.8158298; -0.1590020
1.7800670; 1.8159138; -3.6599312; -2.3034074; -0.2855348; 2.8046392; 5.1422593
1.9778522; 1.9604087; -3.7937273; -2.3203411; 0.0898916; 3.1464467; -0.8544086
2.1756375; 2.1056672; -3.9294843; -2.3589419; -0.8024345; 3.0922723; -0.1902452
2.3734227; 2.2268292; -4.0849659; -2.6181920; -1.2649031; 3.0800800; -0.1902452
2.5712079; 2.3082507; -4.2646212; -2.7886774; -0.5390003; 3.0678392; -3.7690068
2.7689931; 2.3688675; -4.4527597; -2.8587192; -0.1656574; 2.8143791; -0.1575881
2.9667784; 2.4145020; -4.6456026; -3.0084778; -1.5270299; 2.8032825; -0.1575881
3.1645636; 2.4054696; -4.8401602; 2.9286734; -1.3078929; 2.7921417; 1.6472564
3.3623488; 2.3456180; -5.0297010; 2.7666837; -0.7124426; 2.9064861; 2.9791831
3.5601340; 2.2569406; -5.2064010; 2.5683517; -1.2466058; 3.1026018; -0.1930375
3.7579192; 2.1332418; -5.3576930; 2.3560334; -0.9160517; 3.0902715; 3.0604028
3.9557045; 1.9810829; -5.4868511; 2.2085583; -0.4565156; 3.2803023; 5.0842169
4.1534897; 1.8190620; -5.6007658; 2.1786986; 0.1444554; 3.5737304; 5.0438860
4.3512749; 1.6572465; -5.7157594; 2.1938807; 0.0034201; 3.8427544; 5.0038751
4.5490601; 1.4967746; -5.8302249; 2.1859016; -0.0339459; 4.0922056; 4.9641816
4.7468454; 1.3351153; -5.9440473; 2.1842503; 0.0101850; 4.3254861; 4.9248029
4.9446306; 1.1734415; -6.0580278; 2.1851067; -0.0015639; 4.5451003; 4.8857366
5.1424158; 1.0117447; -6.1719904; 2.1843532; -0.0028854; 4.7529559; 4.8469802
5.3402010; 0.8499965; -6.2858539; 2.1840770; -0.0005589; 4.9505466; 4.8085312
5.5379863; 0.6882851; -6.3996546; 2.1839602; -0.0006229; 5.1390684; 4.7703872
5.7357715; 0.5263237; -6.5136144; 2.1840177; 0.0015360; 5.3194970; 4.7325458
5.9335567; 0.3646047; -6.6274780; 2.1845911; 0.0044085; 5.4926409; 4.6950046
6.1313419; 0.2032133; -6.7413225; 2.1857814; 0.0073608; 5.6591792; -4.5519417
6.3291272; 0.0415773; -6.8556543; 2.1870043; 0.0049764; 5.4977900; -12.3441159
6.5269124; -0.1194695; -6.9698216; 2.1880118; 0.0064750; 5.0341561; -11.7932609
6.7246976; -0.2803162; -7.0841257; 2.1883813; -0.0300517; 4.5472698; -9.8867675
6.9224828; -0.4426605; -7.1977457; 2.1706522; -0.1460906; 4.0947221; -9.7835835
7.1202681; -0.6048272; -7.3063649; 2.1577499; 0.0314362; 3.5911910; -10.1113880
7.3180533; -0.7707642; -7.4180946; 2.1606503; -0.2323313; 2.9827649; -4.8100165
7.5158385; -0.9407691; -7.5204316; 2.0379703; -1.0480478; 2.6446524; -0.1391539
7.7136237; -1.1303401; -7.5874370; 1.7618257; -1.7293207; 2.6342249; -0.1391539
7.9114089; -1.3233682; -7.5871315; 1.3783803; -1.5831784; 2.6237561; 0.9631983
8.1091942; -1.5124086; -7.5304164; 1.2357052; -0.0453916; 2.6953865; 1.9046100
8.3069794; -1.6985018; -7.4634105; 1.2084859; -0.2315422; 2.8316984; -2.1716131
8.5047646; -1.8802058; -7.3841117; 1.0685563; -1.3928310; 2.6757224; -0.1424427
8.7025498; -2.0323334; -7.2620090; 0.7127230; -1.6893928; 2.6651724; -0.1424427
8.9003351; -2.1381536; -7.0942920; 0.4277252; -1.2428617; 2.6545805; 3.1004922
9.0981203; -2.1988593; -6.9067282; 0.2050203; -1.0171622; 2.8763277; 3.4188438
9.2959055; -2.2243540; -6.7097370; 0.0787499; -0.2110135; 3.1025239; 5.1069722
9.4936907; -2.2360993; -6.5122910; 0.0269092; -0.4971779; 3.4125975; 5.0664608
9.6914760; -2.2329979; -6.3156159; -0.0397791; -0.0151582; 3.6945858; -3.6568024
9.8892612; -2.2267249; -6.1186054; -0.0182775; 0.1538225; 3.4933424; -9.7463228
10.0870464; -2.2214411; -5.9219071; -0.0542175; -0.2900169; 2.8893050; -7.8989612
10.2848316; -2.2146605; -5.7239790; 0.0215939; 0.8051685; 2.2854951; -0.1039247
10.4826169; -2.2153498; -5.5261437; -0.1199607; -2.3155391; 2.2764838; -0.1039247
10.6804021; -2.1420279; -5.3489926; -0.6082616; -1.1013081; 2.2674367; 5.1968997
10.8781873; -2.0238536; -5.1850074; -0.5630698; 0.8222102; 2.6827242; 5.1556750
11.0759725; -1.9212949; -5.0167130; -0.5962036; -1.1339366; 3.0391515; 1.3412382
11.2737577; -1.7909544; -4.8710975; -0.8403290; -0.6901557; 3.1252193; 5.0633899
11.4715430; -1.6375618; -4.7418020; -0.8634977; 0.3692552; 3.4307322; 5.0639721
11.6693282; -1.4900784; -4.6089496; -0.8229192; 0.0280038; 3.7112102; 5.0238019
11.8671134; -1.3445103; -4.4759218; -0.8410917; -0.0569615; 3.9699305; 4.9839502
12.0648986; -1.1975898; -4.3437477; -0.8266185; 0.2064528; 4.2109205; -2.0646696
12.2626839; -1.0525421; -4.2079669; -0.8319278; -0.3748607; 4.1128007; -0.3365375
12.4604691; -0.8989822; -4.0841175; -0.9665119; -0.7150516; 4.0965846; -0.3365375
12.6582543; -0.7304074; -3.9809467; -1.0610744; -0.2402251; 4.0803040; 4.9661321
12.8560395; -0.5541599; -3.8862072; -1.0920962; -0.1362796; 4.3143176; 4.9267379
