# 62ea8315-83ab-49c1-ab43-fced20edb158
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1419553; -3.4895782; -1.0914808; 0.3005511; 2.6879117; -0.1437387
0.1986312; 0.3209816; -3.4038342; -1.2218614; -1.6741615; 2.6772687; -0.1437387
0.3972623; 0.5129556; -3.3542226; -1.3407757; 0.4478211; 2.6665831; 5.1574064
0.5958935; 0.7059287; -3.3087326; -1.3836961; -0.8853925; 3.0264680; -0.9342558
0.7945246; 0.9018156; -3.2878539; -1.5186976; -0.2590479; 2.9645175; -2.5968674
0.9931558; 1.1033345; -3.2832624; -1.6164323; -1.2323087; 2.7850900; -0.9886121
1.1917869; 1.2939107; -3.3258432; -1.9636352; -1.0618628; 2.7136669; -0.4720731
1.3904181; 1.4768330; -3.4048003; -1.9337856; 0.3281297; 2.6788900; -0.1427754
1.5890492; 1.6604002; -3.4816418; -2.0679286; -1.6854567; 2.6682826; -0.1427754
1.7876804; 1.8208589; -3.5979047; -2.2890464; -0.5314080; 2.6576329; 5.1583620
1.9863115; 1.9661573; -3.7318594; -2.3272284; -0.0037348; 3.0186480; -1.6469415
2.1849427; 2.1118586; -3.8682482; -2.3337303; -0.4481026; 2.9082586; -0.1682711
2.3835738; 2.2428786; -4.0172719; -2.5464527; -1.4300832; 2.8967430; -0.1682711
2.5822050; 2.3341340; -4.1932634; -2.7547570; -0.6724722; 2.8851815; 2.3441323
2.7808361; 2.3991951; -4.3800425; -2.8465798; -0.2913632; 3.0422866; -5.6691295
2.9794673; 2.4518162; -4.5725026; -2.9257677; -0.9240275; 2.6463893; -0.1393321
3.1780984; 2.4671390; -4.7685614; 3.0464660; -1.7271095; 2.6359106; -0.1393321
3.3767296; 2.4224126; -4.9622526; 2.8198555; -0.6141095; 2.6253902; 5.1617779
3.5753608; 2.3476444; -5.1455885; 2.6719985; -1.0079396; 2.9905273; 2.8063974
3.7739919; 2.2398657; -5.3102029; 2.4513572; -1.0386808; 3.1714554; 1.3511135
3.9726231; 2.0980205; -5.4519603; 2.2680781; -0.7838157; 3.2549771; 3.4831055
4.1712542; 1.9387116; -5.5709967; 2.1781433; -0.1402342; 3.4610088; 5.0597878
4.3698854; 1.7751135; -5.6853637; 2.1905026; 0.0759571; 3.7401397; 5.0194790
4.5685165; 1.6146739; -5.8004589; 2.1906981; -0.0635331; 3.9978363; 4.9794914
4.7671477; 1.4523728; -5.9151933; 2.1833840; -0.0099256; 4.2380254; 4.9398223
4.9657788; 1.2898819; -6.0294628; 2.1843418; 0.0039722; 4.4635484; 4.9004693
5.1644100; 1.1275804; -6.1437599; 2.1840184; -0.0050814; 4.6765411; 4.8614298
5.3630411; 0.9650665; -6.2580310; 2.1833613; -0.0015268; 4.8786575; 4.8227012
5.5616723; 0.8024239; -6.3723078; 2.1832242; -0.0005407; 5.0712105; 4.7842812
5.7603034; 0.6398954; -6.4864782; 2.1831398; 0.0001002; 5.2552632; 4.7461673
5.9589346; 0.4774608; -6.6005928; 2.1833593; 0.0021269; 5.4316907; 4.7083570
6.1575657; 0.3148072; -6.7149757; 2.1841495; 0.0060433; 5.6012246; -2.3730028
6.3561969; 0.1524862; -6.8294053; 2.1854788; 0.0042376; 5.5164311; -12.4772437
6.5548280; -0.0095160; -6.9438000; 2.1855178; -0.0013191; 5.0472046; -12.0016543
6.7534592; -0.1715292; -7.0583177; 2.1873878; 0.0199736; 4.5504361; -10.6081440
6.9520904; -0.3331943; -7.1729533; 2.1830924; -0.1044480; 4.0610655; -10.5910371
7.1507215; -0.4963481; -7.2838004; 2.1506392; -0.0932102; 3.5049727; -9.8131613
7.3493527; -0.6620628; -7.3934713; 2.1727063; 0.2808125; 2.8959341; -7.9542778
7.5479838; -0.8292288; -7.5099553; 2.1449558; -0.7941322; 2.2861539; -0.1039811
7.7466150; -1.0072203; -7.5927009; 1.8048803; -2.3142827; 2.2771017; -0.1039811
7.9452461; -1.2036532; -7.6007731; 1.4619862; -1.0456087; 2.2680133; 5.1968472
8.1438773; -1.3989354; -7.5637573; 1.3185485; -0.5303237; 2.6848456; 5.1554466
8.3425084; -1.5889754; -7.5061444; 1.2375694; -0.4317010; 3.0424432; -4.2395831
8.5411396; -1.7725319; -7.4322513; 1.1330890; -0.5547855; 2.7517692; -7.2170965
8.7397707; -1.9479334; -7.3398549; 1.0472165; -0.3024305; 2.1691366; -0.0936089
8.9384019; -2.1096805; -7.2247879; 0.7791230; -2.5707128; 2.1605476; -0.0936089
9.1370330; -2.2064000; -7.0558415; 0.3161455; -1.4113951; 2.1519244; 5.2071368
9.3356642; -2.2502625; -6.8567716; 0.1476275; -0.5072818; 2.5883157; 5.1656542
9.5342953; -2.2725623; -6.6609429; 0.0920751; -0.2262609; 2.9582930; 5.1245021
9.7329265; -2.2828535; -6.4640661; -0.0019779; -0.5334445; 3.2843978; 5.0836778
9.9315576; -2.2769084; -6.2664207; -0.0347361; 0.0975960; 3.5786621; 0.9876988
10.1301888; -2.2724288; -6.0699356; -0.0138092; -0.0503211; 3.6330701; -11.5334429
10.3288200; -2.2656209; -5.8737423; -0.0562752; 0.0741948; 2.9355402; -11.2124054
10.5274511; -2.2630777; -5.6721429; 0.0472295; 0.2092368; 2.0403750; -0.0828254
10.7260823; -2.2563848; -5.4732999; -0.2166624; -2.9054096; 2.0322959; -0.0828254
10.9247134; -2.1677542; -5.3016032; -0.6351773; -0.5648947; 2.0241846; 5.2178344
11.1233446; -2.0517201; -5.1357962; -0.5397196; 0.4892175; 2.4839831; 5.1762666
11.3219757; -1.9471971; -4.9673106; -0.6334602; -1.3888087; 2.8681889; 0.4099841
11.5206069; -1.8113328; -4.8256012; -0.8559011; -0.5047152; 2.8964425; 5.1317638
11.7192380; -1.6571798; -4.6955114; -0.8517404; 0.3221121; 3.2292469; 5.0908816
11.9178692; -1.5104431; -4.5614733; -0.8208494; -0.0208130; 3.5285196; 5.0503252
12.1165003; -1.3640125; -4.4277900; -0.8401399; -0.0237543; 3.8022039; 5.0100918
12.3151315; -1.2171919; -4.2945941; -0.8192694; 0.2376708; 4.0554994; 4.9701790
12.5137626; -1.0715873; -4.1580568; -0.8388969; -0.4523655; 4.2920321; -0.3522763
12.7123938; -0.9156208; -4.0355190; -0.9787369; -0.6563979; 4.2756981; -0.3666095
12.9110249; -0.7460287; -3.9332909; -1.0624622; -0.1860076; 4.2586328; 4.9363111
13.1096561; -0.5689531; -3.8380706; -1.0919231; -0.1426282; 4.4829638; 4.8969860
13.3082872; -0.3911438; -3.7488103; -1.1173987; -0.0880461; 4.6949283; 4.8579742
13.5069184; -0.2131804; -3.6630897; -1.1223510; 0.0175502; 4.8961456; 4.8192732
13.7055496; -0.0357642; -3.5775080; -1.1211444; 0.0030076; 5.0879031; -46.9762370
13.9041807; 0.1419553; -3.4895782; -1.0914808; 0.3005511; 2.6879117; -0.1437387
