# 3345f789-a35e-4553-8fb4-dba2a6ffe9ac
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0034421; -3.6365615; -1.0806781; -0.0465542; 4.0218259; -2.1417008
0.1992458; 0.1744569; -3.5482966; -1.1600067; -0.6634770; 3.9142858; -1.0036611
0.3984916; 0.3599362; -3.4802898; -1.2711342; -0.4595339; 3.8628594; -5.3817204
0.5977374; 0.5528292; -3.4299931; -1.3628336; -0.5109988; 3.5745087; -5.3808114
0.7969832; 0.7500311; -3.3994439; -1.4705740; -0.4760863; 3.2608134; -6.6436425
0.9962291; 0.9506394; -3.3873624; -1.5438735; -0.3411625; 2.8258571; -0.3482352
1.1954749; 1.1509433; -3.3957528; -1.7198657; -1.5049791; 2.8011961; -0.2200038
1.3947207; 1.3380139; -3.4563512; -2.0075395; -0.5278544; 2.7855035; -7.4006127
1.5939665; 1.5216210; -3.5374446; -1.9263007; 0.2988548; 2.1931593; -0.0956915
1.7932123; 1.7030559; -3.6157626; -2.1222561; -2.5147662; 2.1844485; -0.0956915
1.9924581; 1.8534188; -3.7468454; -2.3547205; 0.3497925; 2.1757029; 5.2050732
2.1917039; 2.0049749; -3.8798470; -2.2870406; -0.9377133; 2.6091878; 5.1634787
2.3909497; 2.1287176; -4.0328207; -2.6236434; -0.8196224; 2.9774929; 2.4868702
2.5901956; 2.2268221; -4.2058659; -2.6249988; -0.6161623; 3.1395001; -5.5121209
2.7894414; 2.3041599; -4.3857810; -2.8347320; -0.5305052; 2.7676573; -1.4068945
2.9886872; 2.3561994; -4.5785703; -2.9643601; -1.5121891; 2.6644495; -0.1918299
3.1879330; 2.3577508; -4.7758396; 3.0147597; -0.8200505; 2.6500658; -0.1397160
3.3871788; 2.3189668; -4.9718630; 2.8385392; -1.7223628; 2.6395403; -0.1397160
3.5864246; 2.2233190; -5.1431935; 2.4462233; -1.3152099; 2.6289727; 2.7713306
3.7856704; 2.0812693; -5.2867576; 2.3108375; -0.3386773; 2.8312276; 5.1392544
3.9849162; 1.9307399; -5.4169854; 2.2638545; -0.1543561; 3.1723492; 5.0981858
4.1841621; 1.7756284; -5.5420001; 2.2351788; -0.1331697; 3.4778418; 5.0574455
4.3834079; 1.6175345; -5.6633505; 2.2200927; -0.0093240; 3.7564256; 5.0170307
4.5826537; 1.4592856; -5.7839242; 2.2240710; 0.0153053; 4.0137237; 4.9769389
4.7818995; 1.3023724; -5.9041979; 2.2246712; -0.0089807; 4.2536157; 4.9371675
4.9811453; 1.1441209; -6.0250768; 2.2208605; -0.0309741; 4.4789135; 4.8977139
5.1803911; 0.9848818; -6.1451294; 2.2118884; -0.0565380; 4.6917336; 4.8585756
